Start,End
4427.553,4427.803
4429.063,4429.26
4430.325,4430.659
4430.943,4431.767
4431.925,4432.057
4432.658,4433.277
4435.541,4435.791
4436.468,4436.845
4437.686,4438.07
4439.685,4440.733
4441.283,4441.524
4441.784,4441.985
4442.177,4442.368
4442.674,4442.875
4447.012,4447.586
4448.442,4448.717
4449.393,4450.311
4450.636,4451.267
4453.919,4454.166
4454.675,4454.858
4455.016,4455.103
4457.635,4457.789
4461.803,4462.117
4463.832,4464.148
4464.421,4464.596
4465.313,4465.609
4466.088,4466.718
4467.032,4467.234
4468.643,4468.713
4469.013,4469.293
4469.871,4469.99
4470.179,4470.347
4472.612,4472.866
4473.693,4473.858
4474.815,4475.632
4475.967,4476.158
4476.53,4476.692
4478.245,4479.183
4479.762,4480.691
4481.586,4481.779
4484.337,4484.508
4484.715,4484.93
4485.718,4486.607
4487.393,4489.204
4490.516,4490.834
4491.424,4491.96
4492.89,4493.05
4494.844,4495.282
4495.965,4496.169
4497.446,4497.942
4497.467,4497.901
4499.471,4499.92
4500.571,4500.794
4500.602,4500.815
4502.629,4503.02
4502.649,4503.02
4503.609,4503.778
4503.618,4503.798
4504.215,4504.938
4504.235,4504.928
4505.864,4506.051
4505.874,4506.051
4506.384,4507.282
4506.404,4507.175
4508.165,4508.398
4508.562,4509.409
4508.571,4509.428
4511.127,4511.657
4511.136,4511.61
4512.204,4513.003
4512.233,4513.003
4513.582,4513.769
4513.601,4513.778
4514.512,4515.224
4514.577,4515.049
4515.602,4516.152
4515.703,4516.18
4516.737,4516.947
4517.492,4518.261
4517.492,4518.27
4518.522,4518.711
4518.549,4518.711
4520.016,4520.62
4520.025,4521.15
4522.283,4523.838
4522.309,4522.562
4523.535,4523.838
4524.886,4525.091
4524.886,4525.1
4525.262,4525.654
4525.288,4525.611
4526.146,4526.332
4526.172,4526.332
4565.54,4565.675
4565.873,4566.092
4567.263,4567.439
4568.211,4568.355
4570.253,4570.567
4570.719,4570.841
4571.567,4571.889
4572.5,4572.66
4573,4573.149
4573.418,4573.518
4575.68,4575.837
4576.082,4576.277
4576.599,4576.969
4577.736,4578.151
4578.623,4578.873
4579.17,4579.477
4579.925,4580.477
4581.942,4582.393
4583.494,4583.726
4584.171,4584.319
4584.928,4585.056
4585.488,4586.055
4586.955,4587.082
4587.335,4587.561
4588.496,4588.952
4589.877,4590.426
4592.161,4592.595
4592.916,4593.158
4593.382,4593.76
4594.343,4594.77
4595.076,4595.254
4596.141,4596.377
4596.712,4596.838
4598.148,4598.688
4598.254,4598.434
4599.544,4599.807
4600.227,4600.437
4601.814,4601.939
4602.395,4602.716
4603.088,4603.201
4604.822,4605.189
4606.326,4606.589
4606.69,4606.841
4609.293,4610.273
4611.364,4611.687
4612.817,4613.35
4615.08,4615.319
4616.951,4617.121
4617.516,4617.638
4619.049,4619.892
4621.572,4621.745
4622.291,4623.411
4623.797,4623.941
4624.584,4624.754
4625.278,4626.117
4626.496,4626.873
4627.004,4627.301
4627.997,4628.205
4628.585,4628.861
4629.856,4630.35
4630.698,4631.341
4631.694,4632.214
4633.135,4633.338
4633.562,4634.158
4634.296,4634.476
4636.07,4636.532
4638.242,4638.408
4638.967,4639.225
4639.781,4640.428
4641.438,4642.423
4642.938,4643.391
4644.023,4644.214
4644.972,4645.915
4646.665,4647.019
4647.715,4648.048
4648.379,4648.632
4648.943,4649.388
4650.093,4650.4
4650.803,4651.071
4651.691,4652.498
4652.754,4653.329
4653.62,4655.681
4656.115,4657.052
4658.582,4658.754
4660.059,4660.273
4661.191,4661.607
4661.854,4662.066
4662.409,4662.725
4662.961,4663.197
4665.18,4665.89
4666.401,4666.723
4667.408,4667.534
4667.857,4667.987
4668.375,4668.709
4671.885,4672.938
4674.537,4675.315
4675.532,4675.801
4676.1,4676.306
4677.373,4678.128
4678.625,4678.838
4679.304,4679.989
4680.742,4681.401
4681.819,4681.988
4684.011,4684.695
4685.231,4685.784
4686.036,4686.248
4686.702,4687.45
4687.603,4688.424
4688.585,4688.718
4689.674,4690.585
4690.885,4691.36
4691.77,4692.529
4692.787,4693.082
4693.751,4694.454
4695.848,4696.118
4696.54,4697.494
4697.84,4698.168
4698.961,4699.347
4700.289,4700.835
4701.653,4701.851
4702.441,4702.577
4702.934,4703.13
4703.308,4703.604
4705.371,4705.985
4707.793,4708.261
4709.002,4709.171
4711.448,4711.541
4711.822,4712.714
4713.467,4715.635
4717.162,4717.935
4719.102,4719.429
4720.211,4720.713
4722.666,4723.315
4724.009,4724.355
4724.805,4725.368
4725.948,4727.166
4727.57,4728.243
4728.532,4728.644
4728.997,4729.802
4732.106,4732.45
4733.261,4733.709
4733.897,4734.654
4735.186,4735.372
4735.46,4737.064
4738.182,4738.501
4739.025,4739.281
4740.035,4740.233
4740.901,4741.315
4742.088,4742.359
4742.544,4742.782
4743.537,4743.796
4746.04,4746.358
4747.363,4747.815
4749.238,4749.779
4750.939,4751.052
4752.336,4752.499
4753.284,4753.507
4754.418,4754.64
4755.535,4755.805
4757.101,4757.319
4759.619,4760.514
4760.747,4761.336
4762.297,4762.727
4765.498,4765.75
4765.946,4766.783
4768.139,4768.249
4769.817,4770.999
4772.329,4772.984
4774.363,4775.416
4776.825,4776.992
4777.754,4779.39
4784.421,4784.75
4785.1,4787.161
4788.369,4788.742
4792.345,4792.537
4793.475,4793.776
4797.315,4797.55
4798.301,4798.466
4798.894,4799.232
4801.163,4801.401
4801.782,4801.943
4803.02,4803.209
4803.687,4803.874
4804.332,4804.481
4806.542,4806.652
4807.154,4807.391
4807.619,4807.746
4809.89,4810.166
4810.424,4810.664
4811.997,4812.163
4817.575,4819.007
4819.269,4821.087
